# time (hhmmss),heat->kettle,kettle->air,kettle->boil,condenser->air,alc->condenser,alc->output,H2O->condenser,H2O output
000246,3000.000000,669.667725,0.000000,179.783157,55809.640625,14921.278320,23851.890625,7764.097168
000247,3000.000000,673.231079,0.000000,180.739792,58292.601562,15585.124023,24947.148438,8120.617676
000248,3000.000000,676.789001,0.000000,181.694992,58292.601562,15585.124023,24947.148438,8120.617676
000249,3000.000000,680.341492,0.000000,182.648712,58292.601562,15585.124023,24947.148438,8120.617676
000250,3000.000000,683.888611,0.000000,183.600983,58292.601562,15585.124023,24947.148438,8120.617676
000251,3000.000000,687.430237,0.000000,184.551804,58292.601562,15585.124023,24947.148438,8120.617676
000252,3000.000000,690.966492,0.000000,185.501160,60868.113281,16273.712891,26084.867188,8490.959961
000253,3000.000000,694.497314,0.000000,186.449066,60868.113281,16273.712891,26084.867188,8490.959961
000254,3000.000000,698.022705,0.000000,187.395508,60868.113281,16273.712891,26084.867188,8490.959961
000255,3000.000000,701.542664,0.000000,188.340500,60868.113281,16273.712891,26084.867188,8490.959961
000256,3000.000000,705.057190,0.000000,189.284027,60868.113281,16273.712891,26084.867188,8490.959961
000257,3000.000000,708.566284,0.000000,190.226105,63538.929688,16987.783203,27266.371094,8875.554688
000258,3000.000000,712.069946,0.000000,191.166733,63538.929688,16987.783203,27266.371094,8875.554688
000259,3000.000000,715.568481,0.000000,192.105972,63538.929688,16987.783203,27266.371094,8875.554688
000300,3000.000000,719.061340,0.000000,193.043671,63538.929688,16987.783203,27266.371094,8875.554688
000301,3000.000000,722.549011,0.000000,193.980011,66307.859375,17728.083984,28493.019531,9274.844727
000302,3000.000000,726.031311,0.000000,194.914871,66307.859375,17728.083984,28493.019531,9274.844727
000303,3000.000000,729.508423,0.000000,195.848358,66307.859375,17728.083984,28493.019531,9274.844727
000304,3000.000000,732.979797,0.000000,196.780319,66307.859375,17728.083984,28493.019531,9274.844727
000305,3000.000000,736.446106,0.000000,197.710907,66307.859375,17728.083984,28493.019531,9274.844727
000306,3000.000000,739.907227,0.000000,198.640091,69177.742188,18495.376953,29766.191406,9689.278320
000307,3000.000000,743.362915,0.000000,199.567841,69177.742188,18495.376953,29766.191406,9689.278320
000308,3000.000000,746.813232,0.000000,200.494125,69177.742188,18495.376953,29766.191406,9689.278320
000309,3000.000000,750.258362,0.000000,201.419022,69177.742188,18495.376953,29766.191406,9689.278320
000310,3000.000000,753.698120,0.000000,202.342484,69177.742188,18495.376953,29766.191406,9689.278320
000311,3000.000000,757.132385,0.000000,203.264465,72151.437500,19290.425781,31087.275391,10119.307617
